Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
JBM Auto,Auto Components,13039.11,6.75,24.74,44.83,16.07,14.2,2.24,10.71,60.16
JD Cables,Industrial Products,379.08,,,,117.16,65.58,0.34,148.47,16.04
Jeena Sikho,Pharmaceuticals & Biotechnology,7565.56,93.97,174.46,,37.93,50.24,0.3,44.64,37.05
Jeevan Scienti.,Healthcare Services,137.34,60.31,11.6,-0.49,0.28,2.8,0.53,5.12,
Jenburkt Pharma,Pharmaceuticals & Biotechnology,443.1,7.03,16.5,20.66,19.87,27.18,0.01,10.48,13.67
Jet Freight,Transport Services,85.48,46.31,12.61,14.3,5.9,10.7,0.93,2.58,21.92
Jet Solar,Realty,20.43,-40.28,4.71,,0.34,0.82,0.02,-74.42,
Jetking Infotrai,Other Consumer Services,81.76,47.99,49.52,23.25,6.53,7.56,,12.95,272.53
Jetmall Spices,Food Products,18.58,244.06,10.46,,-7.14,-7.56,0,-49.55,
Jeyyam Global,Food Products,177.88,0.4,,,17.84,17.75,0.43,2.13,7.58
JFL Life,Pharmaceuticals & Biotechnology,36.29,-47.74,-0.24,,11.09,15.81,0.27,-12.97,7.53
Jhandewala Foods,Food Products,60.88,-31.19,,33.06,55.2,22.36,0.27,223.46,9.17
Jhaveri Credits,Finance,161.36,-10.5,65.33,135.27,2.78,3.19,0,114.32,123.18
JHS Sven.Lab.,Personal Products,83.04,-27.37,-16.5,-16.5,-10.84,-5.19,0.06,6.43,
JHS Svend.Retail,Retailing,20.33,-25.47,,,-2.77,3.55,0.25,6.3,135.53
Jigar Cables,Electrical Equipment,59.34,-21.84,37.92,10.76,9.05,16.7,0,-20.83,39.04
Jindal Capital,Finance,23.38,-21.59,10.72,29.09,13.28,15.17,0.89,-2.49,41.02
Jindal Drilling,Oil,1290.48,-43.04,15.52,35.71,14.41,16.34,0.07,25.34,5.45
Jindal Hotels,Leisure Services,45.79,-26.44,16.55,21.6,6.26,9.76,2.29,2.08,34.95
Jindal Leasefin,Finance,13.59,12.65,6.81,18.9,-32.51,-30.21,0.75,40,
Jindal Photo,Finance,1307.94,128.47,59.75,104.1,13.99,13.8,0.06,-39.4,108.09
Jindal Poly Film,Industrial Products,2698.78,-4.71,1.51,4.29,2.15,5.36,0.84,-32.72,
Jindal Poly Inve,Finance,1240.6,98.79,39.8,105.51,14.17,12.83,0.01,2549.02,1.4
Jindal Saw,Industrial Products,11854.56,-24.78,35.34,35.99,16.31,19.37,0.43,-13.67,10.54
Jindal Stain.,Ferrous Metals,64003.81,32.74,42,61.69,16.15,18.16,0.38,8.42,21.65
Jindal Steel,Ferrous Metals,126919.36,45.33,29.53,29.22,7.68,10.67,0.39,0.24,44.56
Jindal Worldwide,Textiles & Apparels,2474.42,-70.16,-27.26,17.2,10.06,10.24,0.71,-0.46,37.66
Jinkushal Indus.,"Agricultural, Commercial & Construction Vehicles",249.09,,,,28.31,23.38,0.37,59.5,85.01
Jio Financial,Finance,162259.24,23.02,,,1.23,1.47,0.08,51.85,102.52
JITF Infra Logis,Other Utilities,970.57,-0.63,60.49,107.15,,12.07,,26.61,
Jiwanram Sheo,Industrial Products,12.5,-40.59,,,4.2,4.4,0.71,4.52,5.14
JK Agri Genetics,Agricultural Food & other Products,148.64,-17.36,-9.32,-12.9,-13.7,-7.09,0,-4.55,104.68
JK Lakshmi Cem.,Cement & Cement Products,8864.53,6.32,-0.05,12.63,8.72,10.48,0.72,11.24,18.54
JK Paper,"Paper, Forest & Jute Products",6131.52,25.92,-2.18,19.86,7.04,8.63,0.39,1.9,22.87
JK Tyre & Indust,Auto Components,14446.19,89.2,49.54,31.7,11.07,12.78,0.92,8.4,19.81
JM Financial,Finance,12216.59,38.41,25.39,6.9,9.01,9.39,1.1,-10.54,9.68
JMD Ventures,Entertainment,18.67,-28.9,-24.16,,3.18,4.19,0,-57.99,16.82
JMG Corporation,Industrial Products,14.71,14.21,55.77,43.6,1.12,2.41,0.14,240.54,
JMJ Fintech,Finance,18.3,7.28,21.31,60.09,26.38,31.23,0,60.95,2.81
JNK,Industrial Manufacturing,1336.52,-17.78,,,8.63,14.93,0.05,26.97,28.76
Jocil,Chemicals & Petrochemicals,118.56,-11.24,-7.73,-3.44,0.48,0.71,0.03,9.99,19.37
John Cockerill,Industrial Manufacturing,2517.89,96.29,52.63,45.13,9.9,12.25,0.03,-8.01,123.67
Johnson Pharma,Commercial Services & Supplies,28.6,-46.39,-0.63,14.87,-0.44,-0.43,0.02,,
Joindre Capital,Capital Markets,59.62,4.66,12.75,18.75,12.98,17.28,0.2,-22.82,7.64
Jolly Plastic,Finance,18.25,-85.78,,,0.29,0.29,0,-5,70.19
Jonjua Overseas,Commercial Services & Supplies,8.92,-55.63,-22.7,-39.17,12.56,17.66,1.06,-9,3.3
Josts Engg. Co.,Industrial Manufacturing,290.11,-32.56,34.18,32.26,26.2,30.41,0.18,9.67,34.09
JP Associates,Construction,704.47,-26.97,-31.3,-20.17,,-2.03,,-50.3,
JP Power Ven.,Power,10451.52,14.15,30.57,39.86,6.85,10.26,0.28,-2.1,16.87
JSL Industries,Electrical Equipment,124.87,-19.4,48.97,56.86,15.07,17.6,0.04,-0.27,65.38
JSW Cement,Cement & Cement Products,17052.97,,,,-4.81,4.64,0.75,-3.6,53.04
JSW Energy,Power,85711.93,5.1,27.79,45.69,7.41,6.49,2.37,55.52,37.03
JSW Holdings,Finance,18411.57,1.37,61.56,34.85,0.69,0.82,0,-28.44,127.18
JSW Infrast,Transport Infrastructure,53508.04,0.02,,,16.24,13.92,0.52,19.42,33.02
JSW Steel,Ferrous Metals,309276.56,33.03,23.18,25.57,4.94,8.11,1.22,5.19,39.57
JTEKT India,Auto Components,4140.98,33.07,11.26,11.44,8.68,11.22,0.23,6.39,53.99
JTL Industries,Industrial Products,2430.93,-21.39,-7.32,33.53,9.8,13.01,0.12,-7.78,30.94
Jubilant Agri,Chemicals & Petrochemicals,2793.21,47.86,,,31.49,33.22,0.1,23.91,22.05
Jubilant Food.,Leisure Services,34305.35,-16.96,5.49,-3.07,10.36,13.08,2.11,20.09,103.64
Jubilant Ingrev.,Chemicals & Petrochemicals,9324.32,-5,9.38,,8.88,11.15,0.27,1.43,33.92
Jubilant Pharmo,Pharmaceuticals & Biotechnology,13800.16,-4.03,41.6,2.09,9.55,9.54,0.44,12.09,29.9
Julien Agro,Construction,23.59,-60.71,,,2.15,3.24,0.01,95.99,8.7
Jullundur Motor,Auto Components,205.36,18.22,10.63,20.94,10.81,14.8,0,10.73,6.85
Jumbo Bag,Industrial Products,50.31,20.46,44.55,47.71,9,10.68,0.75,0.48,7.06
Jungle Camps,Leisure Services,65.73,-28.12,,,11.74,14.51,0.07,26.36,16.27
Juniper Hotels,Leisure Services,4857.67,-13.3,,,2.64,6.31,0.5,12.25,30.99
Jupiter Info.,Retailing,42.28,36,33.54,10.91,9.53,15.03,0,-34.73,
Jupiter Life Lin,Healthcare Services,8273.12,-12.11,,,14.95,17.95,0.28,15.3,42.8
Jupiter Wagons,Industrial Manufacturing,11419.34,-7.91,39.94,66.39,16.96,21.49,0.21,-27.26,47.34
Just Dial,Retailing,4678.73,-34.53,-1.84,-7.45,6.18,7.11,0.02,6.48,8.18
Justo Realfin,Realty,195.93,,,,38.28,44,0.19,37,14.02
Jyothy Labs,Household Products,9307.42,-21.38,10.04,11.38,29.02,37.11,0.04,1.96,26.95
Jyoti,Electrical Equipment,147.33,-14.97,56.14,40.63,,9.42,,51.25,6.36
Jyoti CNC Auto.,Industrial Manufacturing,18658.93,2.73,,,21.16,24.35,0.4,22.31,52.65
Jyoti Global,Industrial Products,85.82,,,,33.22,23.71,0.45,7.14,12.92
Jyoti Resins,Chemicals & Petrochemicals,1011.66,-29.82,-13.01,38.86,37.35,49.98,0,8.54,14.52
Jyoti Structures,Electrical Equipment,1498.04,-25.96,25.56,26.46,13.27,1.61,3.85,47.25,30.07
Jyotirgamya Ent.,Commercial Services & Supplies,34.12,13.03,,35.44,-0.35,-0.32,0.06,,
K C P,Cement & Cement Products,2038.24,-7.94,17.62,14.33,10.97,12.99,0.5,0.33,13.11
K G Denim,Textiles & Apparels,41.87,1.3,-16.21,-10.76,-779.82,-15.85,9.54,-69.72,
K K Silk Mills,Textiles & Apparels,27.31,,,,12.52,13.5,1.51,15.87,4.72
K P R Mill Ltd,Textiles & Apparels,30688.06,12,15.28,35.63,17.04,19.84,0.06,5.05,36.37
K Z Leasing,Finance,4.76,-23.73,-0.73,7.92,-0.95,0.77,0.38,-1.92,
K-Lifestyle,Textiles & Apparels,22.49,-31.25,-4.17,1.92,,-5.85,,-70.68,
K. V. Toys India,Consumer Durables,168.93,,,,100.88,31.3,1.95,-851500,37.05
K.P. Energy,Power,1921.41,-23.97,72.96,96.71,45.44,41.72,0.79,70.01,12.94
K&R Rail Engine.,Construction,115.13,-90.1,-49.54,15.97,7.53,9.41,0,-14.54,
K2 Infragen,Construction,63.28,-53.31,,,19.49,18.09,0.83,84.5,4.34
Kabra Drugs,Pharmaceuticals & Biotechnology,72.36,189.02,79.02,46.58,-8.47,-7.82,0.02,,16.83
Kabra Extrusion,Industrial Manufacturing,895.65,-22.93,-22.06,11.29,5.32,7.12,0.32,-6.91,
Kabra Jewels,Consumer Durables,92.53,-26.24,,,20.54,17.2,1.41,29.11,6.13
Kabsons Industri,Commercial Services & Supplies,25.57,-31.91,13.43,20.59,7.83,8.07,0.02,6.56,18.26
Kachchh Minerals,Minerals & Mining,15.71,35.3,14,32.52,1.04,2.28,0.62,-100,
Kahan Packaging,Industrial Products,12.02,-30.94,,,12.05,14.28,0.72,9.25,10.45
Kaira Can,Industrial Products,127.9,-7.69,-15.14,3.82,4.32,5.94,0.07,7.37,40.22
Kairosoft AI,Auto Components,5.56,-81.02,-13.97,-0.03,-11.93,-11.1,0,-18.75,
Kaiser Corporat.,Commercial Services & Supplies,22.63,0.7,-53.84,60.8,-15.99,-1.97,4.66,-24.51,
Kaizen Agro,Construction,49.67,-41.38,-1.67,16.35,0.34,0.47,0,22.25,22.17
Kajaria Ceramics,Consumer Durables,15243.95,12.3,-3.93,0.42,11.22,17.13,0.1,0.86,35.26
Kaka Industries,Industrial Products,251.34,-19.51,,,22.24,19.48,0.95,27.59,16.54
Kakatiya Cement,Cement & Cement Products,87.84,-24.19,-15.9,-8.55,-6.15,-3.11,0.05,-16.3,
Kakatiya Textile,Textiles & Apparels,5.75,-46.28,-31.76,63.36,,19.03,,277.46,
Kalana Ispat,Industrial Products,25.56,-49.29,,,4.5,6.98,0.06,-25.69,50.12
Kallam Textiles,Textiles & Apparels,15.9,-30.16,-32.89,-20.35,-28.47,-4.5,4.65,1.8,
Kalpa Commer.,Commercial Services & Supplies,10.85,,,,-11.62,-10.94,0,1466.24,
Kalpat.,Realty,6686.03,,,,1.23,1.06,2.24,10.49,
Kalpataru Proj.,Construction,21177.5,41.06,31.4,26.16,9.96,15.95,0.69,24.56,24.94
Kalyan Capitals,Finance,35.5,-26.36,-28.42,-2.97,5.18,10.45,4.97,25.31,9.22
Kalyan Jewellers,Consumer Durables,42349.5,-11.28,52.6,,15.95,15.03,1,35.27,36.61
Kalyani Cast-Tec,Industrial Manufacturing,334.14,15.86,,,24.25,29.55,0,39.81,21.2
Kalyani Forge,Industrial Products,225.21,20.58,35.34,26.63,9.77,12.33,0.99,0.9,39.72
Kalyani Invest.,Finance,2199.38,38.04,41.4,25.91,0.84,1.15,0,0.8,50.98
Kalyani Steels,Industrial Products,3265.69,2.47,33.57,17.84,14.04,15.58,0.22,-1.8,12.17
Kama Holdings,Finance,8460.68,8.88,2.22,18.02,9.11,11.75,0.6,9.45,9.02
Kamadgiri Fash.,Textiles & Apparels,49.3,-0.63,10.38,22.82,4.23,8.49,0.58,-18.06,63.21
Kamanwala Housin,Realty,22.56,16.44,21.08,27.83,-5.15,-3.77,0.01,2391.04,0.51
Kamat Hotels,Leisure Services,552.07,-29.99,14.64,40.79,18.61,19.58,0.92,5.38,17.68
Kamdhenu,Industrial Products,647.77,-22.96,-11.35,27.54,21.99,28.91,0,3.84,8.3
Kamdhenu Venture,Consumer Durables,138.94,-59.41,-31.68,,4.1,6.57,0.19,-5.77,29.19
Kanani Industrie,Consumer Durables,29.88,-35.74,-25.35,-8.31,1.19,1.21,0,3.48,16.69
Kanchi Karpooram,Chemicals & Petrochemicals,144.63,-14.21,-10.33,-16.35,6.94,9.44,0.06,-3.58,27.39
Kanco Tea,Agricultural Food & other Products,31.25,-17.57,-6.45,6.71,-12.93,-4.12,0.71,22.78,
Kandagiri Spinng,Textiles & Apparels,16.51,5.25,25.3,36.9,,-5.54,,-11.81,
Kandarp Digi,Commercial Services & Supplies,142.45,148.05,99.48,,8.57,12.96,0.2,114.65,69.15
Kanel Indust.,Commercial Services & Supplies,22.1,,91.75,62.98,-1.64,-0.72,0.01,,
Kanishk Alumin.,Non - Ferrous Metals,50.57,,,,21,16.56,1.37,0.81,16
Kanishk Steel,Industrial Products,159.09,103.49,32.74,45.09,1.04,5.52,0.26,8.94,41.32
Kanoria Chem.,Industrial Manufacturing,299.48,-11.78,-17.91,-4.11,-11.82,-2.33,0.62,0.55,
Kanoria Energy,Cement & Cement Products,136.04,-38.82,-6.92,3.62,3.96,8.15,1.12,-15.16,
Kanpur Plastipa.,Industrial Products,424.85,53.47,27.56,14.96,10.72,11.99,0.58,21.17,11.79
Kansai Nerolac,Consumer Durables,16454.29,-10.21,-9.26,-11.47,10.41,13.03,0.04,1.79,26.63
Kanungo Financi.,Finance,5.19,26.27,4.02,-4.36,3.9,6.2,1.42,44.64,16.74
Kapil Raj Financ,Finance,24.94,-63.98,9.64,18.89,-0.07,-0.07,0,26.67,45.35
Kapston Services,Commercial Services & Supplies,834.96,89.83,77.95,51.7,22.19,12.85,1.72,23.51,31.46
Karbonsteel Eng.,Construction,218.84,,,,27.19,29.25,0.61,25,13.89
Karma Energy Ltd,Power,50.93,-11.78,11.74,22.9,1.94,1.38,0.04,11.72,31.25
Karnataka Bank,Banks,7672.38,21.01,11.07,24.51,11.1,6.33,8.27,-0.41,6.64
Karnavati Financ,Finance,12.36,-32.04,-64.08,-7.84,-15.18,-2.09,6.31,51.58,
Karnawati Innovation,Industrial Products,8.16,49.5,71.38,,13.51,20.72,0,4791.44,2.18
Karnika Industri,Textiles & Apparels,708.94,-0.8,,,26.96,22.82,0.78,11.46,28.33
Kartik Invest.,Finance,30.65,33.62,24.24,12.6,-0.69,-0.69,0,29250,6.03
Karur Vysya Bank,Banks,31527.48,94.64,57,46.08,17.65,7.38,8.83,14.34,13.72
Kashyap TeleMed.,IT - Services,25.39,80.34,35.89,,0,0,0,-80,
Kasturi Metal,Industrial Products,63.41,,,,13.64,16.34,0.71,14.51,28.06
Katare Spinning,Textiles & Apparels,29.93,-43.64,-22.43,48.28,-1.52,-1.43,0.03,-30.74,
Kataria Indust.,Industrial Manufacturing,225.97,-5.41,,,13.62,13.37,0.02,28.91,22.6
Kati patang Life,Beverages,108.57,-36.46,85.1,64.92,,-22.08,0.58,-23.51,
Kaushalya,Retailing,75.97,-49.63,,,21.33,18.85,1.06,92.15,6.07
Kaushalya Infra.,Leisure Services,31.06,5.98,29.29,37.88,7.19,6.33,0,486.67,22.35
Kaveri Seed Co.,Agricultural Food & other Products,3972.13,-22.85,12.85,8.35,19.04,20.08,0,13.59,13.21
Kavveri Defence,Telecom -  Equipment & Accessories,220.24,40.69,123.35,106.65,9.58,8.43,0.07,74.44,47.47
Kay Cee,Construction,149.44,-45.67,,,32.11,29.31,0.59,153.39,7.03
Kay Power &Paper,"Paper, Forest & Jute Products",36.48,-60.99,9.74,30.67,4.19,2.75,0.06,-19.87,40.53
Kaya Ltd,Leisure Services,491.62,29.38,5.51,0.82,,-2.5,,3.29,
Kaycee Inds.,Electrical Equipment,267.57,-5.35,81.36,71.26,22.25,30.55,0.11,14.33,44.6
Kaynes Tech,Industrial Manufacturing,25851.91,-6.94,64.11,,10.74,14.28,0.19,41.84,66.22
Kaytex Fabrics,Textiles & Apparels,114.43,,,,40.49,33.46,0.4,22.35,6.41
KBS India,Finance,14.28,-78.33,-47.91,21.92,0.55,1.36,0,10.2,57.12
KCD Industries,Commercial Services & Supplies,14.54,-11.4,-34.27,2.11,0.51,0.75,0.08,-139.22,
KCK Industries,Agricultural Food & other Products,161.55,-47.68,90.05,,2.9,6.06,0.09,-49.74,299.17
KCL Infra,Construction,21.62,-3.03,-11.55,20.21,0.95,2.22,0.06,412.1,14.91
KCP Sugar &Inds.,Agricultural Food & other Products,262.49,-31.31,-1.4,7.6,1.99,4.63,0.13,-20.31,64.02
KDDL Ltd,Consumer Durables,2994.38,-17.57,32.73,50.83,11.51,14.12,0.45,26.79,35.59
KEC International,Construction,15580.69,-14.74,8.13,5.34,12.02,17.98,0.94,13.47,21.41
Keerthi Indus,Cement & Cement Products,46.97,-25.86,-26.42,-11.84,-44.05,-24.53,1.68,-31.8,
KEI Industries,Industrial Products,48568.93,65.48,44.83,59.37,15.58,21.29,0.04,22.24,56.43
Kellton Tech,IT - Services,1011.8,-11.7,23.45,5.23,16.29,17.11,0.18,12.28,11.08
Keltech Energies,Chemicals & Petrochemicals,321.4,21.77,60.72,44.01,22.23,25.85,0.32,12.37,11.86
Kemistar Corp.,Chemicals & Petrochemicals,73.84,-8.52,20.22,10.37,2.97,3.35,0.47,56.37,175.81
Kemp & Co.,Commercial Services & Supplies,102.06,-32.76,4.42,17.22,-0.71,-0.8,0,1.04,
Ken Enter.,Textiles & Apparels,101.46,-20.73,,,15.74,28.13,0.37,20.04,7.96
KEN Fin.Serv.,Finance,3.22,-46.4,,,1.11,3.07,0.04,75.86,14.64
Kennametal India,Industrial Manufacturing,5318.62,18.93,6.23,17.07,12.91,17.55,0,10.14,47.7
Kenrik Indust.,Consumer Durables,10.26,,,,7.56,10.63,0.01,21.26,8.48
Kenvi Jewels,Consumer Durables,30.2,-34.52,-12.11,22.12,5.1,8.26,0.63,33.23,26.03
Kerala Ayurveda,Pharmaceuticals & Biotechnology,248.02,-42.01,31.72,33.47,-99.22,-9.01,15.49,5.53,
Kernex Microsys.,Transport Services,1811.3,22.28,57.48,103.16,37.99,23.76,0.51,123.77,34.4
Kesar Enterprise,Agricultural Food & other Products,47.17,-42.51,-4.42,2.04,-46.79,-26.18,0.1,-55.25,
Kesar India,Realty,3268.92,116.17,294.62,,46.19,39.6,0.24,-26.74,178.24
Kesar Petroprod.,Chemicals & Petrochemicals,230.76,7.47,55.73,31.37,7.08,7.11,0.4,-6.21,13.81
Kesar Terminals,Transport Services,70.46,-6.68,23.14,13.1,3.32,6.54,1.38,3.28,27.52
Kesoram Inds.,Cement & Cement Products,284.92,-4.08,47.8,22.9,2034.33,-4.71,0.58,-5.02,
Kewal Kir.Cloth.,Textiles & Apparels,3124.71,8.87,7.42,22.53,15.46,18.19,0.18,26.02,22.41
Key Corp,Finance,42.4,-60.4,11.7,39.87,6.57,6.54,0,-96.04,45.11
Keynote Finan.,Capital Markets,156.7,46.69,44.09,35.53,11.09,9.27,0.01,-43.4,17.33
Keystone Realtor,Realty,5260.77,-19.57,-2.61,,7.53,9.33,0.44,-27.23,57.66
KFin Technolog.,Capital Markets,16502.85,9.88,48.36,,24.97,32.75,0.03,19.34,46.7
KG Petrochem,Textiles & Apparels,115.38,-5.96,3.94,4.66,3.08,5.29,0.47,0.27,42.58
Khadim India,Consumer Durables,221.26,-49.1,-10.15,-2.59,2.2,9.34,1.54,-19.45,23
Khaitan (India),Consumer Durables,44.91,18.25,26.96,38.73,,,1.03,,6.04
Khaitan Chemical,Fertilizers & Agrochemicals,549.54,9.89,-1.73,16.2,0.63,2.48,1.07,58.82,7.64
Khandelwal Extra,Agricultural Food & other Products,10.83,76.96,50.22,66.37,10.83,13.29,0,-25.32,90.25
Khandwala Sec.,Capital Markets,26.01,-25.51,-16.47,3.8,-15.54,-14.51,0.1,-39.41,
Khazanchi Jewell,Consumer Durables,1896.48,36.29,,,21.43,24.07,0.22,115.88,24.83
KHFM Hospitality,Commercial Services & Supplies,153.08,-12.06,21.88,10.86,6.15,10.35,0.6,-0.45,41.83
Khoobsurat Ltd,Textiles & Apparels,27.75,5.36,-20.85,26.8,-5.33,-4.75,0,-46.03,7.64
Khyati Global,Commercial Services & Supplies,29.66,-23.15,,,22.13,19.86,0.52,15.71,5.97
Khyati Multimed.,Leisure Services,3.25,18.04,35.5,32.04,-58.52,-60.48,0,-100,108.33
Kiaasa Retail,,231.51,,,,34.23,30.95,0.91,44.2,25.67
KIC Metaliks,Ferrous Metals,105.25,-11.62,-8.39,-0.79,-3.46,-0.42,0.7,-7.57,
Kiduja India,Finance,43.34,-13.34,44.79,52.92,,5.79,,-24.55,
KIFS Financial,Finance,122.59,3.47,4.71,21.95,15.02,9.37,3.99,-22.53,13.24
Kilburn Engg.,Industrial Manufacturing,2654.88,34.92,74.71,93.93,17.16,21.68,0.19,35.21,28.93
Kilitch Drugs,Pharmaceuticals & Biotechnology,565.5,6.98,34.27,30.07,12.61,15.67,0.31,13.85,21.71
Kimia Bioscien.,Pharmaceuticals & Biotechnology,159.4,-19.86,-0.87,-3.38,186.78,41.8,3.11,13.46,17.61
Kinetic Engg.,Auto Components,576.35,31.55,36.57,40.67,-5.76,0.43,0.66,4.78,417.64
Kinetic Trust,Finance,15.13,114.78,78.42,53.13,4.58,5.62,7,326.42,33.62
Kingfa Science,Industrial Products,5968.16,52.09,47.2,47.68,23.21,30.55,0.01,12.33,35.52
Kings Infra,Food Products,323.84,-2.33,11.31,38.32,20.37,20.4,0.88,24.46,23.05
KIOCL,Ferrous Metals,20502.48,45.5,19.98,15.11,-11.27,-9.48,0.11,-10.7,
Kiran Print Pack,Printing & Publication,14,-15.18,52.77,46.7,2.13,3.19,0,8.11,175
Kiran Syntex,Textiles & Apparels,6.35,106.35,39.53,21.55,-3.96,-3.86,0.08,,
Kiran Vyapar,Finance,492.62,2.47,9.11,13.7,2.95,4.05,0.16,-13.67,390.97
Kiri Industries,Chemicals & Petrochemicals,2720.22,-13.85,17.82,-0.53,8.56,10.52,0.37,-1.23,
Kirl. Brothers,Industrial Products,12568.84,-0.84,62.44,59.3,21.62,27.59,0.1,-0.69,30.38
Kirl. Electric,Electrical Equipment,594.07,-24.6,8.99,45.97,-6.12,8.35,0.83,-4.86,32.06
Kirl. Ferrous,Ferrous Metals,6546.8,-12.76,-2.87,20.29,9.58,12.64,0.36,5.92,18.52
Kirl.Pneumatic,Industrial Products,7546.78,16.25,25.08,39.93,21.12,28.27,0,6.53,35.94
Kirloskar Indus.,Industrial Products,2978.99,-12.18,6.52,18.36,2.6,6.72,0.19,4.1,18.49
Kirloskar Oil,Industrial Products,20250.12,141.83,64.96,54.16,15.4,13.68,1.64,17.34,37.26
Kisaan Parivar,Commercial Services & Supplies,14.34,-57.24,56.13,33.44,30.82,42.98,0,-51.92,7.84
Kisan Mouldings,Industrial Products,345.13,-36.15,47.46,17.01,1.66,2.3,0.16,1.31,
Kitex Garments,Textiles & Apparels,3625.31,12.79,54.92,38.7,14.31,10.16,1.14,-6.4,91.81
Kizi Apparels,Textiles & Apparels,11.73,-17.31,,,8.84,12.11,0.44,15.62,11.5
KJMC Corporate,Finance,19.09,-44.3,15.45,26.86,1.65,2.94,0.08,14.26,11.16
KJMC Financial,Finance,22.62,-51.32,10.02,36.22,0.56,1.36,0.09,-6.78,15.28
KK Shah Hospital,Healthcare Services,24.51,-14.29,,,-2.4,-2.33,0,30.19,
KKalpana Inds.,Chemicals & Petrochemicals,71.59,-38.38,-16.54,-13.1,-4,2.68,0.03,-13.93,65.68
Kkalpana Plastic,Industrial Products,15.68,57.06,29.68,49.79,1.44,1.44,0,,522.67
KKV Agro Powers,Consumer Durables,41.47,13.41,-8.05,18.82,8.02,10.86,0.32,-10.09,7.55
KM Sugar Mills,Agricultural Food & other Products,229.26,-9.28,-0.7,17.88,11.25,11.17,0.18,12.24,4.15
KMC Speciality,Healthcare Services,1397.44,30.89,13.83,30.14,13.91,17.37,0.47,31.96,38.15
KMF Builders,Realty,10.26,-17.69,16.83,15.76,-4.1,-3.78,0,6900,10.58
KN Agri Resource,Agricultural Food & other Products,449.41,-14.13,14.26,,11.13,14.75,0.13,-1.41,12.87
Knowledge Marine,Engineering Services,3905.44,111.1,48.28,,25.77,24.67,0.61,21.54,61.22
Knowledge Realty,Realty,53150.71,,,,13.98,13.17,0.07,17.69,28.97
KNR Construct.,Construction,3732.83,-39.78,-19.89,-8.63,27.24,28.58,0.49,-42.65,6.86
Kobo Biotech,Chemicals & Petrochemicals,5.98,-16.33,3.26,-10.86,,-52.9,,,
Kody Technolab,IT - Software,1082.27,-7.9,,,22.27,,0.03,,89.74
Kohinoor Foods,Agricultural Food & other Products,92.94,-19.65,-22.13,29.07,,-0.1,,53.47,
Kokuyo Camlin,Household Products,825.6,-20.53,4.98,5.18,1.95,3.65,0.04,0.01,31.4
Kolte Patil Dev.,Realty,3145.48,41.88,9.01,7.76,13.15,10.87,0.86,-20.99,74.24
Konark Synth,Textiles & Apparels,22.63,37.05,43.43,41.2,-67.31,5.94,165.29,30.62,
Konndor Indust.,"Paper, Forest & Jute Products",8.64,45.13,21,45.52,6.84,9.37,0,-71.1,
Konstelec Engg.,Construction,57.61,-51.06,,,4.74,9.24,0.82,3.54,22.33
Kontor Space,Commercial Services & Supplies,49.25,-6.24,,,17.1,16.77,0.15,69.44,11.24
Kopran,Pharmaceuticals & Biotechnology,636.55,-21.67,5.02,2.25,7.64,9.75,0.31,-3.66,38.46
Kore Digital,Telecom - Services,160.58,-65.84,,,35.48,45.01,0.05,216.63,3.32
Kotak Mah. Bank,Banks,412971.36,9.09,5.96,2.38,15.37,8.17,3.62,7.3,21.97
Kothari Ferment.,Food Products,57.93,-33.47,-3.65,-4.22,1.44,5.46,0.81,-1.94,
Kothari Indl,Fertilizers & Agrochemicals,1936.83,64.57,,,-17.17,-12.59,0.04,535.19,
Kothari Petroche,Chemicals & Petrochemicals,680.15,-19.92,20.23,31.32,23.82,29.99,0.01,-0.38,9.42
Kothari Products,Commercial Services & Supplies,403.07,0.04,4.75,13.92,-6.6,-4.68,0.23,-9.43,11.26
Kothari Sugars,Agricultural Food & other Products,206.4,-27.83,-11.81,-0.55,1.69,3.22,0.17,-34.59,
Kotia Enterprise,Retailing,15.36,-25.96,11.58,10.55,-0.21,-0.21,0,-100,
Kotyark Indust.,Gas,248.34,-56.16,-8.64,,9.83,13.03,0.54,-29.91,91.3
Koura Fine Diamo,Consumer Durables,21.79,26.99,,,1.96,4.35,0.07,81.75,47.37
Kovai Medical,Healthcare Services,5784.31,-1.64,39.98,37.29,21.23,23.31,0.34,14.58,24.53
Kovil. Lak. Rol.,Food Products,93.1,15.44,-1.98,17.46,1.61,6.98,1.44,0.59,18.4
KP Green Engg.,Electrical Equipment,1859.25,-7.58,,,25.08,30.04,0.53,90.03,17.72
KPI Green Energy,Power,7620.33,2.09,59.14,128.71,19.73,17.5,0.96,69.68,17.78
KPIT Technologi.,IT - Software,21139.23,-35.6,-2.97,40.17,32.5,40.03,0.16,11.37,27.78
KPT Industries,Industrial Manufacturing,192.19,-19.15,23.11,43.86,22.5,25.53,0.21,-1.3,15.22
Kranti Industrie,Auto Components,78.37,-35.38,-8.02,31.15,-5.5,-0.56,1.05,15.11,34.83
KRBL,Agricultural Food & other Products,7774.25,34.14,-0.4,11.77,9.42,11.84,0.01,9.96,12.02
Krebs Biochem,Pharmaceuticals & Biotechnology,122.98,-27.69,-5.08,-12.67,,-30.09,,-53.2,
Kreon Finnancial,Finance,66.23,49.2,-9.98,35.61,-13.32,-2.17,0.79,70.76,10.86
