Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Action Const.Eq.,"Agricultural, Commercial & Construction Vehicles",10535.29,-15.77,35.9,41.63,28.65,40.11,0.08,0.31,24.92
Active Clothing,Textiles & Apparels,151.55,-20.28,31.48,57.44,11.53,11.74,1.36,17.44,12.58
Active Infra.,Realty,255.26,,,,13.63,15.51,0.52,17.51,25.99
Acutaas Chemical,Pharmaceuticals & Biotechnology,17674.34,99.09,68.21,,16,19.92,0.01,31.6,61.59
AD Manum Finance,Finance,37.76,-25.81,2.32,29.08,11.37,14.72,0.09,-15.25,4.17
Adani Energy Sol,Power,121515.75,55.41,14.44,5.94,13.64,10.23,1.95,20,54.11
Adani Enterp.,Metals & Minerals Trading,249510.79,6.39,12.54,21.23,9.82,9.45,2.03,-5.11,67.65
Adani Green,Power,156045.23,22.33,22.96,-3.65,14.61,8.7,4.52,17.19,94.64
Adani Ports,Transport Infrastructure,350432.18,42.23,36.19,17.03,18.76,13.8,0.85,23.74,27.74
Adani Power,Power,270197.86,46.27,65.84,65.9,26.1,22.54,0.83,-1.94,23.59
Adani Total Gas,Gas,56310.28,-8.1,-10.39,-0.52,16.82,17.47,0.45,17.67,87.71
Adarsh Plant,Fertilizers & Agrochemicals,31.45,26.5,19.29,39.54,-123.76,-17.41,17.55,-28.43,
ADC India,Telecom -  Equipment & Accessories,611.5,39.55,40.09,45.24,34.74,46.57,0,-0.48,33.31
Adcon Capital,Finance,8.53,-52.22,-37.37,-29.84,6.58,8.3,0,18.45,6.18
Adcounty Media.,Media,277.44,,,,47.28,62.93,0.01,61.51,15.73
Add-Shop E-Reta.,Retailing,22.28,-30.72,-43.21,-23.24,3.03,4.26,0.12,-10,21.02
Addi Industries,Textiles & Apparels,110.66,140.89,46.95,83.7,4.15,5.51,0,,38.96
Addictive Learn,Other Consumer Services,167.85,-41.08,,,13.08,25.13,0,2.07,19.25
Adeshwar Meditex,Healthcare Services,30.31,15.38,-1.24,,5.51,8.27,0.16,-9.37,14.64
ADF Foods,Food Products,2161.46,-16.37,10.59,3.68,13.98,16.91,0.02,10.52,25.35
Adhata Global,Consumer Durables,12.57,-48.59,,,14.49,10.26,0.64,-19.7,
Adhbhut Infra.,Realty,14.64,-22.48,-66.32,-40.4,,,,-43.93,
Adinath Textiles,Textiles & Apparels,14.66,0.37,-6.94,42.44,2.73,3.75,0,,162.89
Adit.Birla Money,Capital Markets,736.43,-10.01,34.51,24.25,37.21,13.06,6.58,-6.07,14.3
Aditya AMC,Capital Markets,25805.88,45.18,32.97,,26.99,35.51,0.02,11.97,25.35
Aditya Bir. Fas.,Retailing,8168.79,-21.97,-7.07,-0.41,-10.93,-2.87,0.91,9.65,
Aditya Birla Cap,Finance,90214.63,120.34,31.35,21.57,11.49,9.33,4.86,13.05,25.42
Aditya Consumer,Retailing,57.06,12.17,-9.12,11.33,-4.29,-1.26,0.42,-0.85,
Aditya Infotech,Industrial Manufacturing,19896.1,,,,20.87,19.49,0.08,11.84,78.39
Aditya Ispat,Industrial Products,6.12,24.48,10.37,24.4,-55.05,-7.34,4.45,-42.15,
Aditya Spinners,Textiles & Apparels,30.08,-24.08,-3.74,24.53,-3.82,-1.17,0.34,5.11,
Aditya Ultra,Industrial Products,60.85,-18.33,,,12.67,13.38,0.9,-0.42,12.84
Aditya Vision,Retailing,6243.18,11.29,45.98,100.96,20.26,19.13,0.65,17.9,55.59
Adjia Tech,IT - Software,4.7,,15.14,,2.24,-3.94,0.02,9.09,58.75
Adline Chem Lab,Pharmaceuticals & Biotechnology,8.2,-9.2,39.63,21.71,,,,,273.33
Admach Systems,Industrial Manufacturing,138.84,,,,43.95,36.47,0.26,171.14,15.94
Ador Welding,Industrial Products,1833.56,22.49,8.36,27.29,13.87,20.28,0,1.9,25.8
Adroit Info.,IT - Services,55.31,-35.79,-13.23,10.71,-3.71,-1.79,0.29,58.51,
Adtech Systems,Industrial Manufacturing,61.84,-28.33,,,9.66,12.92,0,-14.48,16.23
Advait Energy,Industrial Products,1865.04,39.39,83.02,131.26,22.49,26.87,0.27,157.42,40.61
Advance Agrolife,Fertilizers & Agrochemicals,783.19,,,,29.11,28,0.47,9.91,26.77
Advance Lifes.,Textiles & Apparels,15.35,-20.15,-9.17,,1.22,4.43,1.34,,22.25
Advance Meter.,Power,28.36,-31.97,-1.71,13.04,-10.62,-8.13,0.21,-4.31,
Advance Petroch.,Chemicals & Petrochemicals,10.17,-53.31,-34.6,24.03,7.71,9.56,3.34,2.23,254.25
Advance Syntex,Industrial Products,5.5,-11.59,-12.88,-18.45,,-1.46,,-100,
Advanced Enzyme,Pharmaceuticals & Biotechnology,3361.16,15.57,2.94,-2.91,9.54,13.11,0.02,13.07,23.33
Advani Hotels.,Leisure Services,504.07,-3.66,13.44,15.81,34.35,45.29,0.01,-1.66,20.86
Advent Hotels,Leisure Services,1045.57,,,,0.65,3.28,0.91,82.42,35.68
Advik Capital,Finance,100.41,-12.7,-24.67,8.85,5.93,8.42,0.84,-95.12,
Aegis Logistics,Gas,24164.6,-9.44,23.44,16.4,15.53,13.2,0.41,7.95,31.41
Aegis Vopak Term,Oil,25269.96,,,,8.73,7.01,0.42,10.56,123.57
Aelea Commoditi.,Agricultural Food & other Products,266.32,-32.6,,,3.34,7.56,0.01,60.68,43.73
Aeonx Digital,IT - Services,59.41,-6.41,14.75,7.95,6.79,9.78,0.03,48.17,26.52
Aequs,Aerospace & Defense,9490.59,,,,-11.22,1.11,1.1,-4.19,
Aeroflex,Industrial Products,3108.85,36.79,,,16.57,22.34,0.03,12.55,63.29
Aeroflex Enter.,Industrial Products,887.38,-6.71,6.42,31.44,7.66,13.76,0.06,23.63,17.24
Aeroflex Neu,Industrial Products,180.68,-1.16,-2.36,,0.24,3.42,0.27,0.97,81.76
Aeron Composites,Industrial Products,159.65,-23.62,,,19.52,21.19,0.44,-0.61,11.47
Aerpace Indus,Industrial Products,365.57,10.98,163.41,62.76,-21.4,-16.99,0.5,,
Aesthetik Engi.,Construction,133.03,20.7,,,18.36,21.12,0.32,20.7,15.76
Aether Industri.,Chemicals & Petrochemicals,12718.21,12.07,3.15,,7.8,10.18,0.09,52.73,56.85
Afcom Holdings,Transport Services,2176.03,15.21,,,28.92,36.05,0.12,61.79,18.01
Afcons Infrastr.,Construction,10744.83,-29.28,,,14.91,22.53,0.73,-2.3,18.23
Affle 3i,IT - Services,19385.11,-1.65,10.45,5.18,14.03,16.82,0.01,19.21,44.22
Affordable Robo.,Industrial Manufacturing,200.97,-56.91,-17.08,12.4,-10.92,-2.63,0.64,-25.71,44.76
AG Ventures,Chemicals & Petrochemicals,113.64,-32.11,-11.86,-12.45,0.05,0.77,0.11,5.75,19
Agarwal Float,Industrial Products,21.19,-40.18,-9.95,,18.09,17.6,0.85,12.38,8.51
Agarwal Fortune,Industrial Products,7.56,12.53,45.52,72.51,33.63,25.31,2.82,92.09,50.4
Agarwal Indl.,Chemicals & Petrochemicals,824.17,-37.88,-3.45,29.35,20.09,16.9,0.63,-11.97,14.12
Agarwal Toughene,Industrial Products,173.21,5.77,,,27.42,24.38,0.2,44.3,8.06
AGI Greenpac,Industrial Products,3460.66,-15.88,16.28,25.26,16.24,19.89,0.21,7.42,10.23
AGI Infra,Realty,3735.26,86.56,83.49,121.85,25.66,22.03,0.42,8.17,44.52
Agio Paper,"Paper, Forest & Jute Products",7.26,-21.47,3.24,10.27,,-3.24,,-100,
Agni Green,Construction,35.06,-20.75,-6.98,,2.02,6.94,0.34,12.83,50.09
Agri-Tech India,Agricultural Food & other Products,73.11,-16.84,8.45,29.04,-1.1,-1.1,0,116.67,
Agribio Spirits,Beverages,286.64,103.36,58.62,113.69,6.44,7.17,0.22,101.42,82.37
Agro Phos India,Fertilizers & Agrochemicals,69.38,12.01,0.02,21.73,8.55,14.37,0.38,80.08,7.29
AGS Transact,Financial Technology (Fintech),44.95,-82.47,-60.37,,-16.31,1.26,2,-19.14,
Ahasolar Technol,Retailing,23.12,-29.51,,,-6.3,-5.71,0.02,35.82,12.77
Ahimsa Industrie,Industrial Products,13.58,-7.81,46.12,,-34.85,-28.68,0,-80.58,
Ahlada Engineers,Consumer Durables,58.34,-29.29,-19.96,-11.56,2.68,6.03,0.27,-58.09,28.18
Ahluwalia Contr.,Construction,5176.13,19.59,18.17,21.05,11.87,18.47,0.04,10.19,19.37
Ahm. Steelcraft,Industrial Products,262.22,-26.06,109.3,61.12,18.35,21.44,0,120.04,13.86
AI Champ.Inds.,"Paper, Forest & Jute Products",79.93,-33.46,-1.26,18.38,-1112.57,-107.23,,158.28,
AIA Engineering,Industrial Products,35943.27,22.61,12.48,16.33,15.42,18.92,0.14,0.7,30.86
Aik Pipes & Poly,Industrial Products,16.93,-67.32,,,5.72,8.62,0.25,-65.1,
Aimco Pesticides,Fertilizers & Agrochemicals,48.51,-45.48,-25.04,-10.5,-22.31,-12.42,0.69,-3.11,
Aimtron,Industrial Manufacturing,1607.41,78.15,,,24.8,29.16,0,72,46.27
Aion-Tech Soluti,IT - Software,208,-35.48,-7.23,20.52,-3.98,-2.28,0.34,46.56,
Airan,IT - Services,205.03,-35.56,2.45,-1.79,8.87,10.9,0.01,-0.32,23.82
Airfloa Rail,Industrial Manufacturing,624.06,,,,31.02,31.89,0.27,61.27,22.18
Airo Lam,Consumer Durables,137.64,-9.64,8.62,25.26,4.77,7.78,1.09,15.84,16.04
Ajanta Pharma,Pharmaceuticals & Biotechnology,37404.48,20.43,36.43,20.63,24.91,32.37,0.06,14.78,36.87
Ajanta Soya,Agricultural Food & other Products,187.04,-45.75,-8.79,6.96,18.13,26.76,0.02,15.04,12.82
Ajax Engineering,"Agricultural, Commercial & Construction Vehicles",5548.73,-18.49,,,25.07,33.58,0,6.34,24.83
AJC Jewel,Consumer Durables,84.96,,,,21.71,14.68,1.26,-10.32,29.4
Ajcon Global,Finance,36.57,-7,24.48,21.59,2.25,4.52,0.37,14.6,
Ajmera Realty,Realty,2532.96,-12.1,35.43,39.89,12.01,12.66,0.52,-0.94,21.2
Ajooni Biotech,Food Products,76.3,-39.97,0.15,-7.86,5.15,6.91,0.11,43.85,15.57
Ajwa Fun World,Leisure Services,30.71,35,40.99,47.73,,36.64,0.1,-56.05,0.56
Akanksha Power,Electrical Equipment,133.93,-24.92,,,7.78,11.43,0.52,58.47,25.76
Akar Auto Indust,Auto Components,102.15,-11.71,12.71,38.7,13.63,17.12,1.62,-5.83,28.69
Akash InfraProj.,Construction,44.04,1.52,-3.98,-35.36,0.99,3.32,1.03,21.49,55.75
AKG Exim,Commercial Services & Supplies,42.23,-8.03,-22.81,-20.33,1.61,3.45,0.16,-33.66,75.41
AKI India,Consumer Durables,52.53,-43.06,-36.25,19.6,1.86,4.6,0.26,22.97,19.9
Akiko,Finance,234.78,208.35,,,16.72,,0.12,,16.81
Akme Fintrade,Finance,302.99,4.41,,,10.98,14.4,0.96,45.23,8.06
Aksh Optifibre,Telecom -  Equipment & Accessories,79.07,-39.48,-19.16,-6.63,-112.71,-13.45,,-20.24,
Akshar Spintex,Textiles & Apparels,33.07,-27.59,-72.35,-30.87,-6.72,-6.01,0.06,-15.52,
AksharChem (I),Chemicals & Petrochemicals,173.73,-3.97,-1.56,-2.05,1.82,3.46,0.28,5.95,
